Cell_ID,Cell_Center_X,Cell_Center_Y,pS6235_Nuc_Mean,pS6235_Nuc_Std,pS6235_Nuc_Median,pS6235_Nuc_Max,pS6235_Cell_Mean,pS6235_Cell_Std,pS6235_Cell_Median,pS6235_Cell_Max,DAPI_Nuc_Mean,DAPI_Nuc_Std,DAPI_Nuc_Median,DAPI_Nuc_Max,DAPI_Cell_Mean,DAPI_Cell_Std,DAPI_Cell_Median,DAPI_Cell_Max,pERK_Nuc_Mean,pERK_Nuc_Std,pERK_Nuc_Median,pERK_Nuc_Max,pERK_Cell_Mean,pERK_Cell_Std,pERK_Cell_Median,pERK_Cell_Max,S6_Nuc_Mean,S6_Nuc_Std,S6_Nuc_Median,S6_Nuc_Max,S6_Cell_Mean,S6_Cell_Std,S6_Cell_Median,S6_Cell_Max,p4EBP1_Nuc_Mean,p4EBP1_Nuc_Std,p4EBP1_Nuc_Median,p4EBP1_Nuc_Max,p4EBP1_Cell_Mean,p4EBP1_Cell_Std,p4EBP1_Cell_Median,p4EBP1_Cell_Max,NaKATPase_Nuc_Mean,NaKATPase_Nuc_Std,NaKATPase_Nuc_Median,NaKATPase_Nuc_Max,NaKATPase_Cell_Mean,NaKATPase_Cell_Std,NaKATPase_Cell_Median,NaKATPase_Cell_Max,E_cad_Nuc_Mean,E_cad_Nuc_Std,E_cad_Nuc_Median,E_cad_Nuc_Max,E_cad_Cell_Mean,E_cad_Cell_Std,E_cad_Cell_Median,E_cad_Cell_Max
810.0,953.74695,941.5184,216.05714,49.52341,206.0,378.0,0.0,0.0,0.0,0.0,2243.604,421.93417,2284.0,3034.0,0.0,0.0,0.0,0.0,194.8245,149.48349,174.0,695.0,0.0,0.0,0.0,0.0,2131.0857,351.70203,2060.0,3040.0,0.0,0.0,0.0,0.0,233.02449,48.39876,227.0,407.0,0.0,0.0,0.0,0.0,1969.5388,1353.9387,1625.0,6016.0,0.0,0.0,0.0,0.0,1359.0653,1098.796,991.0,6178.0,0.0,0.0,0.0,0.0
811.0,1337.6434,1594.3976,274.7541,81.18339,264.0,546.0,0.0,0.0,0.0,0.0,451.88113,418.3621,206.0,1421.0,0.0,0.0,0.0,0.0,280.02048,167.28592,298.5,679.0,0.0,0.0,0.0,0.0,2293.41,262.7884,2279.0,3024.0,0.0,0.0,0.0,0.0,283.7418,110.309715,253.5,628.0,0.0,0.0,0.0,0.0,2771.3115,986.26526,2669.5,6559.0,0.0,0.0,0.0,0.0,307.61066,77.522865,296.5,565.0,0.0,0.0,0.0,0.0
812.0,1415.7778,480.7037,473.4321,308.15387,327.0,1375.0,0.0,0.0,0.0,0.0,1950.7119,456.90106,1990.0,2797.0,0.0,0.0,0.0,0.0,197.7037,123.02448,192.0,848.0,0.0,0.0,0.0,0.0,923.0288,309.5241,845.0,1763.0,0.0,0.0,0.0,0.0,206.86832,67.76344,197.0,376.0,0.0,0.0,0.0,0.0,1346.5638,1227.2739,724.0,5341.0,0.0,0.0,0.0,0.0,566.79425,817.17694,135.0,3838.0,0.0,0.0,0.0,0.0
813.0,384.166,623.15765,21.40664,14.222032,21.0,62.0,0.0,0.0,0.0,0.0,26.427385,6.077296,25.0,47.0,0.0,0.0,0.0,0.0,38.93361,22.282507,37.0,104.0,0.0,0.0,0.0,0.0,226.72198,30.588175,227.0,301.0,0.0,0.0,0.0,0.0,4.06639,6.8125277,1.0,39.0,0.0,0.0,0.0,0.0,4.759336,7.379472,1.0,41.0,0.0,0.0,0.0,0.0,13.792531,12.642487,10.0,48.0,0.0,0.0,0.0,0.0
814.0,1537.6224,1501.8464,466.61826,270.22287,396.0,1834.0,0.0,0.0,0.0,0.0,1864.6266,811.778,2015.0,3082.0,0.0,0.0,0.0,0.0,221.3776,197.136,182.0,925.0,0.0,0.0,0.0,0.0,1588.639,199.66414,1556.0,2294.0,0.0,0.0,0.0,0.0,161.95436,44.27744,156.0,334.0,0.0,0.0,0.0,0.0,498.49792,290.67606,441.0,1592.0,0.0,0.0,0.0,0.0,15.253112,20.078224,1.0,90.0,0.0,0.0,0.0,0.0
815.0,571.5292,1417.1917,390.02917,218.09682,343.5,1507.0,0.0,0.0,0.0,0.0,1094.4208,360.72427,1144.0,1849.0,0.0,0.0,0.0,0.0,173.9375,132.48997,172.5,519.0,0.0,0.0,0.0,0.0,1428.6292,362.27072,1349.0,3386.0,0.0,0.0,0.0,0.0,159.24167,44.32879,155.0,321.0,0.0,0.0,0.0,0.0,292.62082,136.5859,242.5,682.0,0.0,0.0,0.0,0.0,1.4583334,2.600948,1.0,24.0,0.0,0.0,0.0,0.0
816.0,784.62604,734.18066,248.39076,100.54429,210.5,494.0,0.0,0.0,0.0,0.0,1907.1177,286.57114,1916.0,2638.0,0.0,0.0,0.0,0.0,248.85294,91.80817,249.0,537.0,0.0,0.0,0.0,0.0,1232.3068,299.8938,1087.5,1911.0,0.0,0.0,0.0,0.0,187.4874,48.98754,181.0,345.0,0.0,0.0,0.0,0.0,1361.8109,1179.2086,714.0,4332.0,0.0,0.0,0.0,0.0,721.72687,628.66583,411.0,3242.0,0.0,0.0,0.0,0.0
817.0,1687.4537,1725.9958,234.40337,82.1647,221.0,481.0,0.0,0.0,0.0,0.0,1473.4243,153.43263,1468.0,1865.0,0.0,0.0,0.0,0.0,252.2689,140.73718,246.0,740.0,0.0,0.0,0.0,0.0,1548.4076,162.55246,1560.5,2061.0,0.0,0.0,0.0,0.0,216.7269,59.565277,223.5,345.0,0.0,0.0,0.0,0.0,1239.9958,530.28284,1300.5,3032.0,0.0,0.0,0.0,0.0,1183.8109,474.79,1266.0,2094.0,0.0,0.0,0.0,0.0
818.0,1824.8362,773.0,480.85294,207.41554,439.5,1310.0,0.0,0.0,0.0,0.0,489.86975,245.11366,421.0,1220.0,0.0,0.0,0.0,0.0,386.5504,251.7475,369.0,1018.0,0.0,0.0,0.0,0.0,602.27313,95.45295,611.0,849.0,0.0,0.0,0.0,0.0,162.08403,38.733105,159.0,249.0,0.0,0.0,0.0,0.0,789.01263,209.69835,766.0,1448.0,0.0,0.0,0.0,0.0,7.3235292,23.533998,1.0,170.0,0.0,0.0,0.0,0.0
819.0,515.7173,1671.3586,168.2152,44.187366,168.0,292.0,0.0,0.0,0.0,0.0,704.3291,286.51923,633.0,1592.0,0.0,0.0,0.0,0.0,229.64136,95.357346,220.0,495.0,0.0,0.0,0.0,0.0,1605.5063,229.14198,1555.0,2271.0,0.0,0.0,0.0,0.0,162.66667,34.46974,162.0,248.0,0.0,0.0,0.0,0.0,1368.0168,802.1578,1241.0,4169.0,0.0,0.0,0.0,0.0,1143.5991,607.1747,1024.0,4118.0,0.0,0.0,0.0,0.0
